Date,Delhi_Onion
Jan-05,489
Feb-05,463
Mar-05,395
Apr-05,380
May-05,451
Jun-05,425
Jul-05,550
Aug-05,710
Sep-05,1046
Oct-05,1169
Nov-05,1025
Dec-05,700
Jan-06,541
Feb-06,433
Mar-06,391
Apr-06,391
May-06,370
Jun-06,404
Jul-06,450
Aug-06,501
Sep-06,506
Oct-06,514
Nov-06,439
Dec-06,712
Jan-07,1022
Feb-07,1179
Mar-07,809
Apr-07,632
May-07,506
Jun-07,560
Jul-07,769
Aug-07,1120
Sep-07,1436
Oct-07,1506
Nov-07,830
Dec-07,537
Jan-08,447
Feb-08,405
Mar-08,474
Apr-08,479
May-08,439
Jun-08,430
Jul-08,594
Aug-08,833
Sep-08,816
Oct-08,826
Nov-08,1024
Dec-08,1128
Jan-09,1369
Feb-09,1108
Mar-09,957
Apr-09,712
May-09,640
Jun-09,649
Jul-09,740
Aug-09,796
Sep-09,858
Oct-09,1535
Nov-09,1356
Dec-09,1382
Jan-10,1331
Feb-10,1109
Mar-10,820
Apr-10,694
May-10,524
Jun-10,507
Jul-10,672
Aug-10,846
Sep-10,1294
Oct-10,1549
Nov-10,1842
Dec-10,2388
Jan-11,2657
Feb-11,1039
Mar-11,677
Apr-11,605
May-11,540
Jun-11,576
Jul-11,818
Aug-11,1069
Sep-11,1201
Oct-11,1096
Nov-11,899
Dec-11,611
Jan-12,490
Feb-12,535
Mar-12,603
Apr-12,621
May-12,544
Jun-12,587
Jul-12,681
Aug-12,690
Sep-12,690
Oct-12,1019
Nov-12,1066
Dec-12,1142
Jan-13,1351
Feb-13,1464
Mar-13,1155
Apr-13,1013
May-13,860
Jun-13,1172
Jul-13,1990
Aug-13,3510
Sep-13,4407
Oct-13,4159
Nov-13,3395
Dec-13,1632
Jan-14,1151
Feb-14,927
Mar-14,969
Apr-14,1031
May-14,1142
Jun-14,1277
Jul-14,2042
Aug-14,1750
Sep-14,1700
Oct-14,1629
Nov-14,1528
Dec-14,1609
Jan-15,1353
Feb-15,1542
Mar-15,1413
Apr-15,1335
May-15,1309
Jun-15,1569
Jul-15,1880
Aug-15,3381
Sep-15,3763
Oct-15,2913
Nov-15,2090
Dec-15,1223
Jan-16,1154
Feb-16,898
Mar-16,1042
Apr-16,822
May-16,590
Jun-16,697
Jul-16,695
Aug-16,730
Sep-16,645
Oct-16,567
Nov-16,814
Dec-16,766
Jan-17,754
Feb-17,703
Mar-17,741
Apr-17,734
May-17,654
Jun-17,722
Jul-17,757
Aug-17,1729
Sep-17,1439
Oct-17,1740
Nov-17,2491
Dec-17,2638
Jan-18,2756
Feb-18,1708
Mar-18,1028
Apr-18,721
May-18,707
Jun-18,1013
Jul-18,1134
Aug-18,1111
Sep-18,942
Oct-18,1177
Nov-18,1027
Dec-18,780
Jan-19,656
Feb-19,641
Mar-19,679
Apr-19,695
May-19,828
Jun-19,956
Jul-19,1054
Aug-19,1515
Sep-19,2751
Oct-19,3031
Nov-19,4010
Dec-19,5743
Jan-20,3384
Feb-20,1911
Mar-20,1646
Apr-20,1077
May-20,738
Jun-20,740
Jul-20,957
Aug-20,1122
Sep-20,1888
Oct-20,3294
Nov-20,3425
Dec-20,1792
