Date,Delhi_Onion,month_sin,month_cos
01-01-2005,489,0.5,0.866025403784439
01-02-2005,463,0.866025403784439,0.5
01-03-2005,395,1,6.12303176911189e-17
01-04-2005,380,0.866025403784439,-0.5
01-05-2005,451,0.5,-0.866025403784439
01-06-2005,425,1.22460635382238e-16,-1
01-07-2005,550,-0.5,-0.866025403784439
01-08-2005,710,-0.866025403784438,-0.5
01-09-2005,1046,-1,-1.83690953073357e-16
01-10-2005,1169,-0.866025403784439,0.5
01-11-2005,1025,-0.5,0.866025403784438
01-12-2005,700,-2.44921270764475e-16,1
01-01-2006,541,0.5,0.866025403784439
01-02-2006,433,0.866025403784439,0.5
01-03-2006,391,1,6.12303176911189e-17
01-04-2006,391,0.866025403784439,-0.5
01-05-2006,370,0.5,-0.866025403784439
01-06-2006,404,1.22460635382238e-16,-1
01-07-2006,450,-0.5,-0.866025403784439
01-08-2006,501,-0.866025403784438,-0.5
01-09-2006,506,-1,-1.83690953073357e-16
01-10-2006,514,-0.866025403784439,0.5
01-11-2006,439,-0.5,0.866025403784438
01-12-2006,712,-2.44921270764475e-16,1
01-01-2007,1022,0.5,0.866025403784439
01-02-2007,1179,0.866025403784439,0.5
01-03-2007,809,1,6.12303176911189e-17
01-04-2007,632,0.866025403784439,-0.5
01-05-2007,506,0.5,-0.866025403784439
01-06-2007,560,1.22460635382238e-16,-1
01-07-2007,769,-0.5,-0.866025403784439
01-08-2007,1120,-0.866025403784438,-0.5
01-09-2007,1436,-1,-1.83690953073357e-16
01-10-2007,1506,-0.866025403784439,0.5
01-11-2007,830,-0.5,0.866025403784438
01-12-2007,537,-2.44921270764475e-16,1
01-01-2008,447,0.5,0.866025403784439
01-02-2008,405,0.866025403784439,0.5
01-03-2008,474,1,6.12303176911189e-17
01-04-2008,479,0.866025403784439,-0.5
01-05-2008,439,0.5,-0.866025403784439
01-06-2008,430,1.22460635382238e-16,-1
01-07-2008,594,-0.5,-0.866025403784439
01-08-2008,833,-0.866025403784438,-0.5
01-09-2008,816,-1,-1.83690953073357e-16
01-10-2008,826,-0.866025403784439,0.5
01-11-2008,1024,-0.5,0.866025403784438
01-12-2008,1128,-2.44921270764475e-16,1
01-01-2009,1369,0.5,0.866025403784439
01-02-2009,1108,0.866025403784439,0.5
01-03-2009,957,1,6.12303176911189e-17
01-04-2009,712,0.866025403784439,-0.5
01-05-2009,640,0.5,-0.866025403784439
